City,Working Hours,Location,Phone Number,Coordinates
Скопје,00.00 - 24.00,Бул. Едвард Кардељ бр.1; 1000 Скопје,3153001,"42.00240943904155, 21.403958177476525"
Скопје,00.00 - 24.00,Бул. Партизански Одреди бр.82; 1000 Скопје,3153002,"41.99685755490201, 21.404456811565552"
Скопје,06:00 - 22:00,ул. Митрополит Теодосиј Гологанов бр.104; 1000 Скопје,3153003,"41.99465748060947, 21.395943082728696"
Скопје,00.00 - 24.00,ул. Козле бр.89; 1000 Скопје,3153004,"41.994649506860746, 21.395932353892082"
Скопје,06.00 - 20.00; Недела не работи,Бул. Гоце Делчев бр.20; 1000 Скопје,3153005,"0,0"
Автопат Скопје-Куманово,06.00 - 18.00,Автопат Скопје-Куманово; 1041 Илинден,3153006,"42.02759474456598, 21.676181520833488"
Скопје,00.00 - 24.00,ул. Методија Андонов-Ченто бр.146-А; 1000 Скопје,3153007,"42.010705498890985, 21.508717811565862"
Скопје,00.00 - 24.00,ул. Јадранска Магистрала бр.54; 1000 Скопје,3153008,"0,0"
Скопје,06.00 - 20.00; Сабота 06.00 - 13.00; Недела не работи,ул. Јадранска Магистрала бр.17; 1000 Скопје,3153009,"42.03311018563148, 21.40193531555738"
Тетово,00.00 - 24.00,Скопски Пат; 1200 Тетово,3153010,"0,0"
Гостивар,00.00 - 24.00,ул. Борис Кидрич бр.бб; 1230 Гостивар,3153011,"41.803686503883256, 20.91460798457898"
Дебар,00.00 - 24.00,ул. Велко Влаховиќ; бр.29; 1250 Дебар,3153012,"41.514497786512884, 20.518803811550004"
Куманово,00.00 - 24.00,ул. 11-ти Октомври бр.91; 1300 Куманово,3153013,"42.13323783220246, 21.70272781342611"
Куманово,06.00 - 22.00,ул. Доне Божинов бр.45; 1300 Куманово,3153014,"42.14002208961626, 21.71920199807996"
Крива Паланка,06.00 - 22.00,ул. Маршал Тито бр.26; 1330 Крива Паланка,3153015,"42.19626277297007, 22.320963998081712"
Битола,00.00 - 24.00,ул. Прилепска бр.63; 7000 Битола,3153016,"41.0400286249721, 21.347510726881584"
Битола,00.00 - 24.00,ул. Иво Лола Рибар бр.30; 7000 Битола,3153017,"41.88390084298494, 21.688846455744894"
Автопат Скопје-Велес,00.00 - 24.00,Автопат Скопје-Велес; 1043 Петровец,3153018,"41.88384492969504, 21.68886791341813"
Демир Хисар,06.00 - 22.00,ул. Битолска бр.61; 7240 Демир Хисар,3153019,"41.21528226189146, 21.204572269213898"
Ресен,00.00 - 24.00,ул. Корчуланска бр.29; 7310 Ресен,3153020,"41.08307315317773, 21.023040726882872"
Охрид,06.00 - 22.00,ул. 7-ми Ноември; бр.284В; 6000 Охрид,3153021,"41.123722007045814, 20.812357598047534"
Охрид,00.00 - 24.00,Булевар Туристичка бр.2А; 6000 Охрид,3153022,"0,0"
Охрид,00.00 - 24.00,Населено Место Без Уличен систем; Подмоље; 6000 Охрид,3153023,"41.15952628939821, 20.750960269212104"
Струга,00.00 - 24.00,ул. Пролетерски Бригади бр.68; 6330 Струга,3153024,"41.18229820344518, 20.67615826921279"
Прилеп,06.00 - 22.00,ул. Александар Македонски бр.114; 7500 Прилеп,3153025,"41.327666149582505, 21.533317726890647"
Прилеп,00.00 - 24.00,ул. Марксова бр.44Б; 7500 Прилеп,3153026,"41.3482080321503, 21.55194053666886"
Крушево,06.00 - 17.00,бр. м.в. Порта; 7550 Крушево,3153027,"41.356747191964445, 21.25013899805491"
Кочани,06.00 - 22.00,ул. Никола Карев бр.2; 2300 Кочани,3153028,"41.91386296308245, 22.411817998072635"
Кочани,06.00 - 22.00,ул. Тодосие Паунов бр.34/А; 2300 Кочани,3153029,"41.91390123079715, 22.42785518272628"
Кочани,00.00 - 24.00,ул. Димитар Влахов бр.111; 2300 Кочани,3153030,"41.904724919250114, 22.40217808272586"
Виница,06.00 - 22.00,ул. Индустриска бр.2; 2310 Виница,3153031,"41.88678933568825, 22.499628804442807"
Делчево,07.00 - 19.00,Булевар Македонија бр.4А; 2320 Делчево,3153032,"41.97463918929227, 22.769799355747864"
Берово,06.00 - 22.00,ул. Маршал Тито бр.3/А; 2330 Берово,3153033,"41.71599540595864, 22.85070924173832"
Велес,00.00 - 24.00,ул. Димитар Влахов бр.71; 1400 Велес,3153034,"41.72348174082858, 21.787075250787655"
Велес,00.00 - 24.00,ул. Алексо Демниевски - Бауман бр.16; 1400 Велес,3153035,"41.7187144824442, 21.77333607014658"
Градско,06.00 - 22.00,ул.Александар Македонски бр.108 Градско,3153036,"0,0"
Неготино,00.00 - 24.00,ул. Маршал Тито бр.2А; 1440 Неготино,3153037,"0,0"
Кавадарци,00.00 - 24.00,ул. 29-ти Ноември бр.38; 1430 Кавадарци,3153038,"41.43505623799231, 22.00352371507679"
Гевгелија,06.00 - 22.00,Булевар Гевгелија бр.22; 1480 Гевгелија,3153039,"41.14634897928701, 22.50232472688483"
Прилеп,07.00 - 19.00; Сабота 07.00 - 12.00; Недела не работи,С.Ропотово; 7500 Прилеп,3153040,"41.45179045693873, 21.378141904819515"
Јегуновце,07.00 - 14.00; Сабота 07.00 - 12.00; Недела не работи,Вратница; 1225 Јегуновце,3153041,"0,0"
Автопат Скопје-Гевгелија,00.00 - 24.00,бр.Автопат Скопје-Гевгелија/Демир Капија; 1442 Демир Капија,3153042,"41.410637165274714, 22.246823726893286"
Богданци,06.00 - 22.00,Регионален Пат Р-1109 бр.51; Богданци,3153043,"41.210431606794366, 22.595782998050293"
Дојран,00.00 - 24.00,ул. Маршал Тито бр.26; Нов Дојран; Дојран,3153044,"41.22389032723528, 22.7007982692142"
Штип,00.00 - 24.00,бр. Автопат Штип/Скопје; 2205 Три Чешми; Штип,3153045,"41.77348298623499, 22.139679455741426"
Гевгелија,00.00 - 24.00,бр.Гран. Премин Богородица/бр.3; 1480 Гевгелија,3153046,"41.13791754063302, 22.545197398047968"
Радовиш,00.00 - 24.00,Булевар Александар Македонски бр.21; 2420 Радовиш,3153047,"41.628002018286345, 22.456238998063505"
Кратово,06.00 - 22.00,ул. Гоце Делчев бр.127; 1360 Кратово,3153048,"42.07881490560086, 22.164783998077926"
Пробиштип,06.00 - 22.00,ул. ЈНА бр.65; 2210 Пробиштип,3153049,"41.98080197155174, 22.19066850032163"
Струмица,00.00 - 24.00,ул. Гоце Делчев бр.56; 2400 Струмица,3153050,"41.43950306511111, 22.65496381154766"
Струмица,00.00 - 24.00,ул. Климент Охридски бр.14; 2400 Струмица,3153051,"0,0"
Прилеп,06.00 - 22.00,Булевар Маршал Тито бр.128-А; 7500 Прилеп,3153052,"41.34471314325601, 21.540678269217896"
Скопје,00.00 - 24.00,Булевар Србија бр.26; 1000 Скопје,3153053,"41.978480903471855, 21.46689484464078"
Кичево,06.00 - 22.00,Магистрален пат бр.4; 6250 Кичево,3153054,"41.51871283893029, 20.952424317226676"
Свети Николе,06.00 - 22.00,ул. Маршал Тито бр.100; 2220 Свети Николе,3153055,"41.8601919697967, 21.95112126923429"
Гевгелија,06.00 - 22.00,ул. Борис Кидрич бр.40; 1480 Гевгелија,3153056,"41.15126737201852, 22.512935426885015"
Кичево,00.00 - 24.00,Магистрален Пат бр.1; 6250 Кичево,3153057,"41.49657015850949, 20.946529967366462"
Битола,00.00 - 24.00,Магистрален пат Битола-Ресен Крак А3; 6000 Битола,3153058,"41.0381831642249, 21.29854008269832"
Автопат Скопје-Куманово,06.00 - 22.00,Автопат-Скопје/Куманово Илинден,3153060,"41.999739584923795, 21.57059783395987"
Скопје,06.00 - 20.00; Недела не работи,ул. Јани Лукровски бр.1; 1000 Скопје - Гази Баба,3153061,"42.00211808796683, 21.46064072691202"
Скопје,00.00 - 24.00,ул. Беласица бр.2; 1000 Скопје,3153062,"41.99616889989413, 21.450837082728807"
Скопје,00.00 - 24.00,ул. Ќемал Сејфула бр.6; 1000 Скопје - Чаир,3153063,"42.01633592127685, 21.443758540402776"
Скопје,00.00 - 24.00,ул. Александар Урдаревски бр.6; 1000 Скопје,3153064,"42.02984349004541, 21.444339048601616"
Скопје,07.00 - 19.00; Недела не работи,Булевар Македонско- Косовска Бригада бр.37; 1000 Скопје,3153065,"42.01777689176903, 21.430339998076036"
Скопје,00.00 - 24.00,ул. Бистра бр.2; 1000 Скопје,3153067,"0,0"
Скопје,00.00 - 24.00,ул. Христо Tатарчев бр.41; 1000 Скопје,3153068,"0,0"
Скопје,06.00 - 20.00,ул. Фрањо Клуз Бр.8; 1000 Скопје,3153069,"0,0"
Скопје,00.00 - 24.00,Булевар Илинден бр.138; 1000 Скопје,3153070,"42.007662146517795, 21.400429998075758"
Скопје,00.00 - 24.00,ул. Ѓорче Петров бр.174; 1000 Скопје,3153071,"42.00727867310721, 21.334042269239017"
Велес,00.00 - 24.00,Автопат-Скопје/Велес; 1400 Велес,3153072,"41.68508402932757, 21.83342397443927"
Штип,00.00 - 24.00,ул. Партизанска бр.52-Б; 2000 Штип,3153073,"41.7437084048034, 22.19308341155741"
Штип,06.00 - 22.00,Kej Димитар Влахов бр.27-А ; 2000 Штип,3153074,"41.73572210367036, 22.18479581155713"
Ново Село,06.00 - 22.00,ул. 10-ти Септември бр.10-А; 2434 Ново Село,3153075,"41.41511233942325, 22.87593500521373"
Струмица,00.00 - 24.00,49-Б; с.Муртино; 2432 Струмица,3153076,"41.412040931798245, 22.730405624131414"
Прилеп,00.00 - 24.00,Автопат-Градско/Прилеп; 7500 Прилеп,3153078,"41.44366461147723, 21.89747908356505"
Петровец,06.00 - 20.00,1 бр.1В; 1043 Петровец,3153079,"41.94295354205517, 21.6058553367303"
Куманово,00.00 - 24.00,624 бр.2; 1300 Куманово,3153080,"42.12341880218208, 21.73398226714504"
Куманово,00.00 - 24.00,Аавтопат-Куманово/Скопје; 1300 Куманово,3153081,"0,0"
Тетово,00.00 - 24.00,ул. Иво Лола Рибар бр.бб; 1200 Тетово,3153082,"0,0"
Кавадарци,00.00 - 24.00,ул. Западен Булевар бр.35; 1430 Кавадарци,3153083,"41.44456612225099, 22.005415375962354"
Скопје,06.00 - 22.00,ул. Св.Кирил и Методиј бр.54А; 1000 Скопје,3153084,"41.99453579558178, 21.42032854040203"
Скопје,07.00 - 22.00; Недела не работи,ул. Орце Николов бр.65; 1000 Скопје,3153085,"41.99969740202418, 21.426059235979114"
Скопје,00.00 - 24.00,Булевар Партизански Одреди бр.130; 1000 Скопје,3153086,"42.00729410395989, 21.374451792330994"
Скопје,00.00 - 24.00,Булевар Партизански Одреди бр.165; 1000 Скопје,3153087,"42.00621750995552, 21.37631913215843"
Тетово,00.00 - 24.00,ул. Илинденска бр.бб; 1200 Тетово,3153088,"41.998713319724686, 20.961301844410137"
Гостивар,00.00 - 24.00,ул. ЈНА бр.310; 1230 Гостивар,3153089,"41.795239339652426, 20.898314759113468"
Маврово,06.00 - 20.00,Населено место без уличен систем бр.3; населба Маврови Анови,3153090,"41.70427139929115, 20.76093948271951"
Валандово,00.00 - 24.00,ул. Никола Карев бр.10; Удово; 2460 Валандово,3153091,"41.340059547636024, 22.4451973775521"
Македонска Каменица,06.00 - 22.00,ул. Индустриска бр.10; 2304 Македонска Каменица,3153092,"42.021430709237265, 22.58577050687367"
Валандово,00.00 - 24.00,ул. Првомајска бр.2; 2460 Валандово,3153093,"41.31497446200679, 22.557268046474"
Прилеп,06.00 - 22.00,ул. Моша Пијаде бр.232; 7500 Прилеп,3153094,"41.3512283024164, 21.572287998054755"
Кривогаштани,06.00 - 22.00,ул. Маршал Тито бр.7; 7524 Кривогаштани,3153095,"41.3354156698048, 21.340512339522366"
Македонски Брод,06.00 - 22.00,ул. Маршал Тито бр.2; 6530 Македонски Брод,3153096,"41.50725938640446, 21.21651911154984"
Струмица,06.00 - 22.00,Булевар Гоце Делчев бр.115; 2432 Струмица,3153098,"41.43996897925937, 22.654389540384276"
Валандово,07.00 - 19.00; Сабота 07.00 - 18.00; Недела и празник 07.00 - 18.00,ул. Никола Карев бр.12; Удово; 2460 Валандово,3153099,"0,0"
Тетово,07.30 - 19.00; Недела не работи,Пирок; 1214 Боговиње,3153102,"41.91500134887862, 20.911058542271444"
Прилеп,07.00 - 14.00; Сабота 07.00 - 12.00; Недела не работи,Населено место без уличен систем; Канатларци; 7500 Прилеп,3153103,"41.21059105051091, 21.50395054037707"
Битола,00.00 - 24.00,ул. Никола Јонков Вапцаров бр.1А; 7000 Битола,3153105,"41.021332857443106, 21.3200880980443"
Автопат Штип-Скопје,07.00 - 19.00,Автопат Штип-Скопје/с.Три Чешми; 2205 Три Чешми,3153112,"41.77346698343625, 22.13961508272173"
Гостивар,06.00 - 22.00,бр.Св. Јован Бигорски; 1230 Гостивар,3153114,"41.63116164685845, 20.607122877672825"
Битола,07.00 - 14.00; Сабота 07.00 - 12.00; Недела не работи,ул. Маршал Тито бр.2; с.Добрушево; 6000 Битола,3153117,"41.16579413279439, 21.481666998048958"
Пехчево,06.00 - 22.00,ул. Борис Кидрич бр.82; 2326 Пехчево,3153119,"41.76071199120476, 22.87315426923109"
Струмица,00.00 - 24.00,ул. Климент Охридски бр.400; 2432 Струмица,3153120,"41.42279306925375, 22.652201082710597"
Автопат Велес-Градско,00.00 - 24.00,автопат-Велес/Градско,3153121,"41.58182220158019, 21.92650910717226"
Конче,07.00 - 14.00; Сабота 07.00 - 12.00; Недела не работи,м.в./Лакавици; 2424 Конче,3153126,"41.54152710033146, 22.4078249980608"
Ресен,06.00 - 21.00; Недела 06.00 - 14.00,ул. Јосиф Јосифовски бр.236А; 7310 Ресен,3153128,"41.097980655065534, 21.01145800165204"
Велес,00.00 - 24.00,автопат-Градско/Скопје; 1400 Велес,3153132,"41.685083016491554, 21.833428998065354"
Штип,06.00 - 18.00,бр. Делница Штип-Лакавица 8-ми км; 2000 Штип,3153133,"41.69169151110226, 22.166538773757278"
Јегуновце,07.30 - 19.00; Недела не работи,101 бр.2; 1215 Јегуновце,3153134,"42.07365757074124, 21.117525840404507"
Охрид,00.00 - 24.00,ул. 15-ти Корпус бр.154; 6000 Охрид,3153135,"41.13730213981882, 20.82093454037471"
Делчево,00.00 - 24.00,Булевар Македонија бр.1В; 2320 Делчево,3153138,"0,0"
Автопат Скопје-Куманово,00.00 - 24.00,автопат-Скопје/Куманово; 1041 Илинден,3153139,"42.02576273738147, 21.676035421799586"
Крива Паланка,00.00 - 24.00,ул. Григор Прличев бр.2; 1330 Крива Паланка,3153142,"42.19995071909598, 22.324825540408604"
Скопје,00.00 - 24.00,ул. Февруарски поход бр.44; 1000 Скопје,3153143,"41.984143879482964, 21.48303454040166"
Скопје,00.00 - 24.00,ул. Никола Карев бр.20; 1000 Скопје,3153144,"41.990207149254665, 21.44395139923899"
Штип,06.00 - 22.00,ул. Партизанска бр.35-А; 2000 Штип,3153145,"41.743624323387834, 22.192250160536677"
Струга,06.00 - 22.00,ул. Туристичка бр.61; Струга,3153146,"41.17575715481025, 20.69869672688587"
Скопје,00.00 - 24.00,ул. 8; бр.2Г; 1041 Илинден,3153148,"41.99728284632181, 21.571715998075298"
Гевгелија,00.00 - 24.00,ул. Борис Кидрич бр.13; 1480 Гевгелија,3153152,"41.147568464974846, 22.51022261066729"
Скопје,00.00 - 24.00,ул.2 бр.238; Идризово; Гази Баба; 1000 Скопје,3153153,"41.96905988704065, 21.570005353891297"
Прилеп,00.00 - 24.00,Магистрален пат Прилеп/Битола; 7500 Прилеп,3153163,"41.28842052576321, 21.498359398052763"
Неготино,00.00 - 24.00,ул. Железничка бр.12; 1440 Неготино,3153164,"41.49963319208302, 22.09963691340593"
Вевчани,00.00 - 24.00,Населено место без уличен систем; Вевчани,3153168,"41.24975624486893, 20.63774199805161"
Скопје,00.00 - 24.00,ул.6 бр.18; Ќојлија; 1043 Петровец,3153169,"41.94279653144387, 21.605645042938832"
Скопје,00.00 - 24.00,Булевар Борис Трајковски бр.133Б; 1000 Скопје,3153182,"41.942872045011356, 21.498089774318206"
Тетово,00.00 - 24.00,ул. Скопски Пат бр.1; Тетово,3153192,"0,0"
